loanID,accountPayID,loan,reason,job,yoj,createDate,expire,period,rate,status,bad,paymentDate
85,1333924038,20880440,homeimp,other,40,2024-09-12 06:55:00,2029-09-12 06:55:00,sixty month,30.0,accept,,
86,5920548482,15536500,homeimp,self,2,2024-09-12 06:56:00,2026-03-12 06:56:00,eighteen month,10.0,reject,,
87,2843848429,41418436,homeimp,mgr,35,2024-09-12 06:57:00,2027-03-12 06:57:00,thirty month,16.0,reject,,
88,2843848429,19398629,homeimp,sales,15,2024-09-12 06:58:00,2026-03-12 06:58:00,eighteen month,10.0,accept,,
89,1333924038,34016313,homeimp,profexe,0,2024-09-12 06:59:00,2028-09-12 06:59:00,forty-eight month,25.0,accept,,
90,3960086839,37248811,debtcon,mgr,30,2024-09-12 07:00:00,2029-03-12 07:00:00,fifty-four month,28.0,,,
91,3052928452,1742341,homeimp,mgr,10,2024-09-12 07:01:00,2028-03-12 07:01:00,forty-two month,22.0,,,
92,6496913603,42734691,debtcon,self,23,2024-09-12 07:02:00,2028-03-12 07:02:00,forty-two month,22.0,,,
93,3960086839,40983496,debtcon,other,14,2024-09-12 07:03:00,2024-10-12 07:03:00,one month,0.5,reject,,
94,9274922399,32628710,debtcon,office,17,2024-09-12 07:04:00,2029-09-12 07:04:00,sixty month,30.0,accept,,
95,1333924038,44376333,homeimp,self,13,2024-09-12 07:05:00,2025-03-12 07:05:00,six month,3.0,accept,,
96,3960086839,30132673,debtcon,other,31,2024-09-12 07:06:00,2024-10-12 07:06:00,one month,0.5,reject,,
97,6303485293,5473175,debtcon,profexe,2,2024-09-12 07:07:00,2026-03-12 07:07:00,eighteen month,10.0,reject,,
98,3052928452,10502991,debtcon,profexe,39,2024-09-12 07:08:00,2024-10-12 07:08:00,one month,0.5,,,
99,6496913603,30148399,homeimp,sales,12,2024-09-12 07:09:00,2027-09-12 07:09:00,thirty-six month,19.0,,,
100,1333924038,18138759,homeimp,other,30,2024-09-12 07:10:00,2028-03-12 07:10:00,forty-two month,22.0,,,
101,7976125545,14300446,debtcon,mgr,35,2024-09-12 07:11:00,2026-09-12 07:11:00,twenty-four month,13.0,accept,,
102,3960086839,47725180,debtcon,sales,37,2024-09-12 07:12:00,2027-03-12 07:12:00,thirty month,16.0,,,
103,6496913603,47085666,homeimp,mgr,39,2024-09-12 07:13:00,2029-09-12 07:13:00,sixty month,30.0,,,
104,6496913603,35580349,debtcon,self,10,2024-09-12 07:14:00,2028-09-12 07:14:00,forty-eight month,25.0,,,
105,1333924038,6730762,debtcon,other,19,2024-09-12 07:15:00,2026-03-12 07:15:00,eighteen month,10.0,,,
106,5920548482,23521545,debtcon,self,20,2024-09-12 07:16:00,2027-03-12 07:16:00,thirty month,16.0,,,
107,3052928452,13291893,debtcon,mgr,6,2024-09-12 07:17:00,2027-03-12 07:17:00,thirty month,16.0,accept,,
108,3052928452,17468353,debtcon,self,24,2024-09-12 07:18:00,2027-09-12 07:18:00,thirty-six month,19.0,,,
109,3052928452,43324800,homeimp,profexe,14,2024-09-12 07:19:00,2024-10-12 07:19:00,one month,0.5,,,
110,6303485293,12792667,debtcon,sales,31,2024-09-12 07:20:00,2028-03-12 07:20:00,forty-two month,22.0,accept,,
111,3052928452,32892063,homeimp,mgr,14,2024-09-12 07:21:00,2024-10-12 07:21:00,one month,0.5,accept,,
112,2843848429,24700476,debtcon,other,36,2024-09-12 07:22:00,2028-09-12 07:22:00,forty-eight month,25.0,reject,,
113,6496913603,21976527,homeimp,profexe,6,2024-09-12 07:23:00,2029-03-12 07:23:00,fifty-four month,28.0,reject,,
114,6496913603,14130729,homeimp,mgr,40,2024-09-12 07:24:00,2027-09-12 07:24:00,thirty-six month,19.0,accept,,
115,8203283023,16283963,debtcon,mgr,5,2024-09-12 07:25:00,2029-03-12 07:25:00,fifty-four month,28.0,,,
116,2843848429,35959715,debtcon,office,26,2024-09-12 07:26:00,2025-03-12 07:26:00,six month,3.0,accept,,
117,6303485293,15315417,debtcon,other,8,2024-09-12 07:27:00,2027-03-12 07:27:00,thirty month,16.0,,,
118,9274922399,49114261,homeimp,self,32,2024-09-12 07:28:00,2029-09-12 07:28:00,sixty month,30.0,,,
119,6303485293,15325698,debtcon,sales,10,2024-09-12 07:29:00,2025-09-12 07:29:00,twelve month,6.0,accept,,
120,9274922399,8919547,debtcon,profexe,11,2024-09-12 07:30:00,2027-03-12 07:30:00,thirty month,16.0,reject,,
121,3052928452,32484358,debtcon,profexe,20,2024-09-12 07:31:00,2028-09-12 07:31:00,forty-eight month,25.0,reject,,
122,2843848429,39749923,debtcon,profexe,17,2024-09-12 07:32:00,2029-03-12 07:32:00,fifty-four month,28.0,,,
123,6496913603,29924233,homeimp,profexe,14,2024-09-12 07:33:00,2024-10-12 07:33:00,one month,0.5,accept,,
124,1333924038,13641953,debtcon,office,13,2024-09-12 07:34:00,2024-10-12 07:34:00,one month,0.5,accept,,
125,7976125545,49721116,homeimp,other,24,2024-09-12 07:35:00,2024-10-12 07:35:00,one month,0.5,accept,,
126,5920548482,6152409,homeimp,mgr,0,2024-09-12 07:36:00,2025-03-12 07:36:00,six month,3.0,accept,,
127,2843848429,25362094,debtcon,mgr,5,2024-09-12 07:37:00,2029-03-12 07:37:00,fifty-four month,28.0,reject,,
128,8203283023,17351106,homeimp,office,9,2024-09-12 07:38:00,2028-09-12 07:38:00,forty-eight month,25.0,,,
129,3960086839,26916231,debtcon,mgr,7,2024-09-12 07:39:00,2029-03-12 07:39:00,fifty-four month,28.0,reject,,
130,7976125545,10848391,homeimp,other,9,2024-09-12 07:40:00,2027-03-12 07:40:00,thirty month,16.0,reject,,
131,3960086839,12283652,homeimp,profexe,14,2024-09-12 07:41:00,2026-03-12 07:41:00,eighteen month,10.0,accept,,
132,3052928452,33076758,debtcon,mgr,18,2024-09-12 07:42:00,2025-09-12 07:42:00,twelve month,6.0,reject,,
133,6303485293,34697644,homeimp,profexe,12,2024-09-12 07:43:00,2029-09-12 07:43:00,sixty month,30.0,accept,,
134,7976125545,7417378,debtcon,other,7,2024-09-12 07:44:00,2028-09-12 07:44:00,forty-eight month,25.0,,,
135,9274922399,18996050,homeimp,profexe,31,2024-09-12 07:45:00,2027-09-12 07:45:00,thirty-six month,19.0,,,
136,3052928452,1770656,debtcon,mgr,3,2024-09-12 07:46:00,2026-03-12 07:46:00,eighteen month,10.0,accept,,
137,6303485293,27920032,homeimp,other,11,2024-09-12 07:47:00,2028-09-12 07:47:00,forty-eight month,25.0,reject,,
138,8203283023,28225001,homeimp,mgr,15,2024-09-12 07:48:00,2025-03-12 07:48:00,six month,3.0,,,
139,5920548482,6245921,debtcon,other,33,2024-09-12 07:49:00,2029-03-12 07:49:00,fifty-four month,28.0,reject,,
140,2843848429,21957288,debtcon,sales,22,2024-09-12 07:50:00,2025-09-12 07:50:00,twelve month,6.0,,,
141,3960086839,15595456,homeimp,other,28,2024-09-12 07:51:00,2029-09-12 07:51:00,sixty month,30.0,accept,,
142,2843848429,43891746,debtcon,other,24,2024-09-12 07:52:00,2028-03-12 07:52:00,forty-two month,22.0,reject,,
143,7976125545,48675599,homeimp,other,1,2024-09-12 07:53:00,2025-03-12 07:53:00,six month,3.0,,,
144,6496913603,38323272,debtcon,mgr,5,2024-09-12 07:54:00,2027-09-12 07:54:00,thirty-six month,19.0,accept,,
145,2843848429,6804787,homeimp,self,36,2024-09-12 07:55:00,2026-03-12 07:55:00,eighteen month,10.0,accept,,
146,9274922399,25186311,debtcon,mgr,2,2024-09-12 07:56:00,2024-10-12 07:56:00,one month,0.5,,,
147,6496913603,13115330,homeimp,office,12,2024-09-12 07:57:00,2026-03-12 07:57:00,eighteen month,10.0,accept,,
148,5920548482,9042721,debtcon,sales,5,2024-09-12 07:58:00,2024-10-12 07:58:00,one month,0.5,,,
149,8203283023,28389115,homeimp,office,17,2024-09-12 07:59:00,2027-03-12 07:59:00,thirty month,16.0,accept,,
150,3052928452,8899737,homeimp,profexe,31,2024-09-12 08:00:00,2025-03-12 08:00:00,six month,3.0,,,
151,7976125545,46087091,homeimp,mgr,16,2024-09-12 08:01:00,2027-09-12 08:01:00,thirty-six month,19.0,,,
152,6496913603,47141880,homeimp,sales,3,2024-09-12 08:02:00,2026-09-12 08:02:00,twenty-four month,13.0,,,
153,6303485293,21996946,debtcon,mgr,1,2024-09-12 08:03:00,2029-09-12 08:03:00,sixty month,30.0,,,
154,9274922399,19186751,debtcon,self,18,2024-09-12 08:04:00,2025-09-12 08:04:00,twelve month,6.0,accept,,
155,5920548482,21804455,homeimp,other,37,2024-09-12 08:05:00,2025-09-12 08:05:00,twelve month,6.0,reject,,
156,3052928452,40280486,debtcon,sales,35,2024-09-12 08:06:00,2028-09-12 08:06:00,forty-eight month,25.0,,,
157,3960086839,43627343,homeimp,profexe,8,2024-09-12 08:07:00,2029-03-12 08:07:00,fifty-four month,28.0,reject,,
158,7976125545,14149572,debtcon,office,30,2024-09-12 08:08:00,2028-09-12 08:08:00,forty-eight month,25.0,,,
159,3960086839,2471836,debtcon,sales,20,2024-09-12 08:09:00,2026-03-12 08:09:00,eighteen month,10.0,reject,,
160,6496913603,49972141,homeimp,other,3,2024-09-12 08:10:00,2027-09-12 08:10:00,thirty-six month,19.0,reject,,
161,9274922399,14556683,debtcon,other,37,2024-09-12 08:11:00,2025-03-12 08:11:00,six month,3.0,reject,,
162,5920548482,28222634,debtcon,profexe,27,2024-09-12 08:12:00,2028-09-12 08:12:00,forty-eight month,25.0,accept,,
163,5920548482,29843589,homeimp,sales,3,2024-09-12 08:13:00,2027-03-12 08:13:00,thirty month,16.0,,,
164,3052928452,33886543,debtcon,office,35,2024-09-12 08:14:00,2025-09-12 08:14:00,twelve month,6.0,accept,,
165,3960086839,48993276,homeimp,profexe,34,2024-09-12 08:15:00,2025-09-12 08:15:00,twelve month,6.0,,,
166,6303485293,31027829,debtcon,self,12,2024-09-12 08:16:00,2029-09-12 08:16:00,sixty month,30.0,reject,,
167,6496913603,29599415,debtcon,office,38,2024-09-12 08:17:00,2029-09-12 08:17:00,sixty month,30.0,accept,,
168,6496913603,10167733,debtcon,self,11,2024-09-12 08:18:00,2026-09-12 08:18:00,twenty-four month,13.0,reject,,
169,6303485293,39965981,debtcon,profexe,20,2024-09-12 08:19:00,2027-03-12 08:19:00,thirty month,16.0,reject,,
170,9274922399,33642990,debtcon,profexe,25,2024-09-12 08:20:00,2028-03-12 08:20:00,forty-two month,22.0,reject,,
171,6303485293,31701791,homeimp,mgr,30,2024-09-12 08:21:00,2026-09-12 08:21:00,twenty-four month,13.0,reject,,
172,1333924038,37804357,homeimp,mgr,10,2024-09-12 08:22:00,2028-03-12 08:22:00,forty-two month,22.0,reject,,
173,3052928452,43198155,homeimp,self,4,2024-09-12 08:23:00,2026-09-12 08:23:00,twenty-four month,13.0,,,
174,8203283023,5613355,homeimp,profexe,11,2024-09-12 08:24:00,2028-09-12 08:24:00,forty-eight month,25.0,reject,,
175,8203283023,27151392,homeimp,office,36,2024-09-12 08:25:00,2029-03-12 08:25:00,fifty-four month,28.0,,,
176,6303485293,18484513,debtcon,mgr,18,2024-09-12 08:26:00,2025-03-12 08:26:00,six month,3.0,,,
177,6496913603,34570252,homeimp,mgr,19,2024-09-12 08:27:00,2029-03-12 08:27:00,fifty-four month,28.0,,,
178,2843848429,11203797,debtcon,self,16,2024-09-12 08:28:00,2028-09-12 08:28:00,forty-eight month,25.0,reject,,
179,8203283023,49419386,homeimp,profexe,14,2024-09-12 08:29:00,2024-10-12 08:29:00,one month,0.5,accept,,
180,8203283023,16899404,homeimp,mgr,26,2024-09-12 08:30:00,2028-09-12 08:30:00,forty-eight month,25.0,reject,,
181,2843848429,28013545,debtcon,sales,10,2024-09-12 08:31:00,2025-09-12 08:31:00,twelve month,6.0,,,
182,5920548482,12442362,homeimp,profexe,6,2024-09-12 08:32:00,2028-09-12 08:32:00,forty-eight month,25.0,,,
183,2843848429,7885484,debtcon,self,10,2024-09-12 08:33:00,2026-09-12 08:33:00,twenty-four month,13.0,,,
184,8203283023,12471886,homeimp,profexe,23,2024-09-12 08:34:00,2026-03-12 08:34:00,eighteen month,10.0,accept,,
185,3960086839,16353671,homeimp,profexe,16,2024-09-12 08:35:00,2026-03-12 08:35:00,eighteen month,10.0,,,
186,8203283023,14476409,debtcon,self,0,2024-09-12 08:36:00,2026-03-12 08:36:00,eighteen month,10.0,,,
187,2843848429,40916185,debtcon,other,12,2024-09-12 08:37:00,2027-09-12 08:37:00,thirty-six month,19.0,reject,,
188,5920548482,33523297,debtcon,sales,16,2024-09-12 08:38:00,2026-09-12 08:38:00,twenty-four month,13.0,accept,,
189,1333924038,8230883,homeimp,profexe,20,2024-09-12 08:39:00,2027-09-12 08:39:00,thirty-six month,19.0,,,
190,9274922399,41104724,debtcon,mgr,27,2024-09-12 08:40:00,2026-09-12 08:40:00,twenty-four month,13.0,accept,,
191,5920548482,9960226,debtcon,sales,34,2024-09-12 08:41:00,2027-09-12 08:41:00,thirty-six month,19.0,reject,,
192,3960086839,23617268,debtcon,office,5,2024-09-12 08:42:00,2025-09-12 08:42:00,twelve month,6.0,reject,,
193,6303485293,43266098,debtcon,sales,37,2024-09-12 08:43:00,2029-09-12 08:43:00,sixty month,30.0,reject,,
194,3960086839,21850886,homeimp,other,37,2024-09-12 08:44:00,2028-03-12 08:44:00,forty-two month,22.0,reject,,
195,6496913603,27558366,debtcon,profexe,18,2024-09-12 08:45:00,2026-09-12 08:45:00,twenty-four month,13.0,accept,,
196,7976125545,42839270,debtcon,profexe,9,2024-09-12 08:46:00,2025-03-12 08:46:00,six month,3.0,reject,,
197,5920548482,17528154,homeimp,other,39,2024-09-12 08:47:00,2025-03-12 08:47:00,six month,3.0,accept,,
198,5920548482,48763973,homeimp,self,26,2024-09-12 08:48:00,2029-09-12 08:48:00,sixty month,30.0,accept,,
199,2843848429,13559350,homeimp,office,29,2024-09-12 08:49:00,2029-09-12 08:49:00,sixty month,30.0,accept,,
200,5920548482,34949932,debtcon,profexe,33,2024-09-12 08:50:00,2026-03-12 08:50:00,eighteen month,10.0,accept,,
201,8203283023,46737944,homeimp,self,2,2024-09-12 08:51:00,2029-03-12 08:51:00,fifty-four month,28.0,accept,,
202,2843848429,25615707,debtcon,profexe,37,2024-09-12 08:52:00,2029-03-12 08:52:00,fifty-four month,28.0,reject,,
203,3052928452,26597675,homeimp,other,26,2024-09-12 08:53:00,2029-03-12 08:53:00,fifty-four month,28.0,,,
204,9274922399,3316604,debtcon,profexe,10,2024-09-12 08:54:00,2027-09-12 08:54:00,thirty-six month,19.0,,,
205,6303485293,49250522,debtcon,profexe,17,2024-09-12 08:55:00,2027-09-12 08:55:00,thirty-six month,19.0,accept,,
206,9274922399,45123260,debtcon,office,1,2024-09-12 08:56:00,2025-03-12 08:56:00,six month,3.0,reject,,
207,1333924038,39037596,homeimp,mgr,25,2024-09-12 08:57:00,2029-09-12 08:57:00,sixty month,30.0,,,
208,2843848429,11771297,debtcon,sales,27,2024-09-12 08:58:00,2029-03-12 08:58:00,fifty-four month,28.0,,,
209,3960086839,30442243,homeimp,office,39,2024-09-12 08:59:00,2029-09-12 08:59:00,sixty month,30.0,reject,,
210,3960086839,20935369,homeimp,mgr,26,2024-09-12 09:00:00,2028-09-12 09:00:00,forty-eight month,25.0,,,
211,6303485293,19656503,homeimp,profexe,40,2024-09-12 09:01:00,2027-09-12 09:01:00,thirty-six month,19.0,,,
212,3960086839,33816847,homeimp,profexe,8,2024-09-12 09:02:00,2028-03-12 09:02:00,forty-two month,22.0,reject,,
213,1333924038,42285929,debtcon,other,23,2024-09-12 09:03:00,2026-03-12 09:03:00,eighteen month,10.0,accept,,
214,3960086839,45229568,debtcon,office,21,2024-09-12 09:04:00,2025-03-12 09:04:00,six month,3.0,,,
215,8203283023,15197333,homeimp,self,28,2024-09-12 09:05:00,2026-03-12 09:05:00,eighteen month,10.0,,,
216,8203283023,18562018,debtcon,sales,15,2024-09-12 09:06:00,2027-09-12 09:06:00,thirty-six month,19.0,reject,,
217,6303485293,23158282,homeimp,sales,23,2024-09-12 09:07:00,2029-09-12 09:07:00,sixty month,30.0,reject,,
218,2843848429,4922809,debtcon,office,20,2024-09-12 09:08:00,2024-10-12 09:08:00,one month,0.5,,,
219,1333924038,43864951,debtcon,sales,26,2024-09-12 09:09:00,2026-09-12 09:09:00,twenty-four month,13.0,,,
220,3960086839,26276650,debtcon,office,9,2024-09-12 09:10:00,2027-03-12 09:10:00,thirty month,16.0,reject,,
221,1333924038,1182207,debtcon,mgr,22,2024-09-12 09:11:00,2026-09-12 09:11:00,twenty-four month,13.0,,,
222,2843848429,31167075,homeimp,office,23,2024-09-12 09:12:00,2028-03-12 09:12:00,forty-two month,22.0,reject,,
223,5920548482,22018811,homeimp,office,22,2024-09-12 09:13:00,2028-09-12 09:13:00,forty-eight month,25.0,,,
224,5920548482,18352859,debtcon,self,33,2024-09-12 09:14:00,2029-09-12 09:14:00,sixty month,30.0,accept,,
225,3960086839,7396895,debtcon,profexe,8,2024-09-12 09:15:00,2029-03-12 09:15:00,fifty-four month,28.0,reject,,
226,7976125545,10130285,debtcon,office,25,2024-09-12 09:16:00,2028-09-12 09:16:00,forty-eight month,25.0,,,
227,6303485293,41975647,homeimp,mgr,27,2024-09-12 09:17:00,2025-03-12 09:17:00,six month,3.0,,,
228,8203283023,18392120,homeimp,mgr,10,2024-09-12 09:18:00,2028-09-12 09:18:00,forty-eight month,25.0,accept,,
